Time,GeoType,GeoID,GeoRank,Geography,"Average annual age-adjusted rate per 10,000",Average annual number,"Average annual rate per 10,000"
2017-2019,NTA2010,501,8,Claremont-Bathgate,289.1,712,296.9
2017-2019,NTA2010,503,8,Eastchester-Edenwald-Baychester,158.4,453,158.4
2017-2019,NTA2010,505,8,Bedford Park-Fordham North,161.3,678,162.5
2017-2019,NTA2010,506,8,Belmont,226.0,420,203.6
2017-2019,NTA2010,507,8,Bronxdale,127.4,386,125.9
2017-2019,NTA2010,508,8,West Farms-Bronx River,142.4,385,143.3
2017-2019,NTA2010,509,8,Soundview-Castle Hill-Clason Point-Harding Park,159.0,665,160.3
2017-2019,NTA2010,510,8,Pelham Bay-Country Club-City Island,63.0,124,58.3
2017-2019,NTA2010,513,8,Co-op City,80.6,282,69.6
2017-2019,NTA2010,514,8,East Concourse-Concourse Village,208.5,"1,000",209.2
2017-2019,NTA2010,517,8,East Tremont,281.3,869,283.1
2017-2019,NTA2010,522,8,North Riverdale-Fieldston-Riverdale,31.1,67,29.5
2017-2019,NTA2010,526,8,Highbridge,174.5,500,179.2
2017-2019,NTA2010,527,8,Hunts Point,230.0,429,228.6
2017-2019,NTA2010,528,8,Van Cortlandt Village,90.3,351,90.2
2017-2019,NTA2010,529,8,Spuyten Duyvil-Kingsbridge,38.7,90,35.2
2017-2019,NTA2010,530,8,Kingsbridge Heights,122.7,295,122.0
2017-2019,NTA2010,531,8,Allerton-Pelham Gardens,87.0,203,79.8
2017-2019,NTA2010,533,8,Longwood,233.9,474,235.9
2017-2019,NTA2010,534,8,Melrose South-Mott Haven North,309.1,941,310.5
2017-2019,NTA2010,535,8,Morrisania-Melrose,263.4,768,268.6
2017-2019,NTA2010,536,8,University Heights-Morris Heights,193.3,799,198.3
2017-2019,NTA2010,537,8,Van Nest-Morris Park-Westchester Square,128.8,276,130.0
2017-2019,NTA2010,539,8,Mott Haven-Port Morris,320.2,"1,247",320.2
2017-2019,NTA2010,540,8,Fordham South,206.0,405,209.1
2017-2019,NTA2010,541,8,Mount Hope,208.6,804,211.5
2017-2019,NTA2010,543,8,Norwood,176.0,549,176.1
2017-2019,NTA2010,544,8,Williamsbridge-Olinville,185.4,907,183.5
2017-2019,NTA2010,546,8,Parkchester,104.9,255,103.8
2017-2019,NTA2010,549,8,Pelham Parkway,76.1,171,75.1
2017-2019,NTA2010,552,8,Schuylerville-Throgs Neck-Edgewater Park,73.7,260,73.0
2017-2019,NTA2010,555,8,Soundview-Bruckner,141.3,389,141.0
2017-2019,NTA2010,559,8,Westchester-Unionport,116.5,250,116.4
2017-2019,NTA2010,562,8,Woodlawn-Wakefield,160.3,531,156.0
2017-2019,NTA2010,563,8,West Concourse,211.2,594,216.4
2017-2019,NTA2010,575,8,Crotona Park East,187.6,302,189.2
2017-2019,NTA2010,4709,8,Brooklyn Heights-Cobble Hill,14.8,27,12.8
2017-2019,NTA2010,4717,8,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,40.9,200,37.3
2017-2019,NTA2010,4719,8,Brighton Beach,28.4,72,25.1
2017-2019,NTA2010,4721,8,Seagate-Coney Island,174.7,385,157.9
2017-2019,NTA2010,4723,8,West Brighton,26.4,43,28.1
2017-2019,NTA2010,4725,8,Homecrest,17.0,55,16.8
2017-2019,NTA2010,4726,8,Gravesend,90.1,212,87.9
2017-2019,NTA2010,4727,8,Bath Beach,26.1,63,24.0
2017-2019,NTA2010,4728,8,Bensonhurst West,18.6,132,18.3
2017-2019,NTA2010,4729,8,Bensonhurst East,15.6,82,15.4
2017-2019,NTA2010,4730,8,Dyker Heights,16.4,54,15.6
2017-2019,NTA2010,4731,8,Bay Ridge,27.3,169,26.5
2017-2019,NTA2010,4732,8,Sunset Park West,70.4,281,66.6
2017-2019,NTA2010,4733,8,Carroll Gardens-Columbia Street-Red Hook,68.5,207,58.0
2017-2019,NTA2010,4734,8,Sunset Park East,38.2,185,36.9
2017-2019,NTA2010,4735,8,Stuyvesant Heights,165.8,867,165.3
2017-2019,NTA2010,4737,8,Park Slope-Gowanus,39.6,193,31.2
2017-2019,NTA2010,4738,8,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,111.6,391,96.4
2017-2019,NTA2010,4740,8,Windsor Terrace,33.0,55,29.2
2017-2019,NTA2010,4741,8,Kensington-Ocean Parkway,28.8,74,28.6
2017-2019,NTA2010,4742,8,Flatbush,93.1,744,92.2
2017-2019,NTA2010,4743,8,Midwood,29.9,114,28.9
2017-2019,NTA2010,4744,8,Madison,20.7,64,20.1
2017-2019,NTA2010,4745,8,Georgetown-Marine Park-Bergen Beach-Mill Basin,31.9,103,28.5
2017-2019,NTA2010,4746,8,Ocean Parkway South,18.4,23,16.9
2017-2019,NTA2010,4750,8,Canarsie,102.4,672,101.5
2017-2019,NTA2010,4758,8,Flatlands,82.0,442,80.9
2017-2019,NTA2010,4760,8,Prospect Lefferts Gardens-Wingate,151.4,783,142.4
2017-2019,NTA2010,4761,8,Crown Heights North,152.7,"1,268",151.4
2017-2019,NTA2010,4763,8,Crown Heights South,90.5,275,91.5
2017-2019,NTA2010,4764,8,Prospect Heights,48.3,73,40.3
2017-2019,NTA2010,4768,8,Fort Greene,128.4,341,116.2
2017-2019,NTA2010,4769,8,Clinton Hill,65.7,176,54.9
2017-2019,NTA2010,4772,8,Williamsburg,45.1,68,40.0
2017-2019,NTA2010,4773,8,North Side-South Side,50.4,178,38.7
2017-2019,NTA2010,4775,8,Bedford,165.7,809,153.1
2017-2019,NTA2010,4776,8,Greenpoint,37.8,98,30.8
2017-2019,NTA2010,4777,8,Bushwick North,123.0,476,112.4
2017-2019,NTA2010,4778,8,Bushwick South,156.7,846,153.4
2017-2019,NTA2010,4779,8,Ocean Hill,206.9,530,208.3
2017-2019,NTA2010,4781,8,Brownsville,332.1,"1,184",330.0
2017-2019,NTA2010,4782,8,East New York,201.8,"1,370",201.0
2017-2019,NTA2010,4783,8,Cypress Hills-City Line,103.3,364,104.7
2017-2019,NTA2010,4785,8,East New York (Pennsylvania Ave),274.9,554,278.8
2017-2019,NTA2010,4788,8,Borough Park,21.8,121,20.4
2017-2019,NTA2010,4790,8,East Williamsburg,78.0,218,70.0
2017-2019,NTA2010,4791,8,East Flatbush-Farragut,119.9,476,114.7
2017-2019,NTA2010,4793,8,Starrett City,137.8,121,113.0
2017-2019,NTA2010,4795,8,Erasmus,126.9,279,127.4
2017-2019,NTA2010,4796,8,Rugby-Remsen Village,151.1,622,145.8
2017-2019,NTA2010,6101,8,Marble Hill-Inwood,70.8,292,69.7
2017-2019,NTA2010,6103,8,Central Harlem North-Polo Grounds,273.2,"1,794",271.5
2017-2019,NTA2010,6104,8,Hamilton Heights,101.2,415,98.2
2017-2019,NTA2010,6106,8,Manhattanville,151.6,276,149.8
2017-2019,NTA2010,6109,8,Morningside Heights,87.6,351,77.5
2017-2019,NTA2010,6111,8,Central Harlem South,186.2,720,179.1
2017-2019,NTA2010,6112,8,Upper West Side,61.6,648,56.7
2017-2019,NTA2010,6113,8,Hudson Yards-Chelsea-Flatiron-Union Square,60.7,382,55.5
2017-2019,NTA2010,6114,8,Lincoln Square,37.6,186,33.6
2017-2019,NTA2010,6115,8,Clinton,51.8,202,44.4
2017-2019,NTA2010,6117,8,Midtown-Midtown South,32.1,77,29.5
2017-2019,NTA2010,6119,8,Turtle Bay-East Midtown,13.3,55,11.6
2017-2019,NTA2010,6120,8,Murray Hill-Kips Bay,60.2,217,49.9
2017-2019,NTA2010,6121,8,Gramercy,25.3,55,22.1
2017-2019,NTA2010,6122,8,East Village,46.3,151,38.9
2017-2019,NTA2010,6123,8,West Village,10.8,63,10.3
2017-2019,NTA2010,6124,8,SoHo-TriBeCa-Civic Center-Little Italy,13.3,46,12.8
2017-2019,NTA2010,6125,8,Battery Park City-Lower Manhattan,21.4,64,16.2
2017-2019,NTA2010,6127,8,Chinatown,67.5,256,63.0
2017-2019,NTA2010,6128,8,Lower East Side,171.8,945,161.9
2017-2019,NTA2010,6131,8,Lenox Hill-Roosevelt Island,10.5,69,9.4
2017-2019,NTA2010,6132,8,Yorkville,26.7,150,21.8
2017-2019,NTA2010,6133,8,East Harlem South,249.2,"1,167",244.1
2017-2019,NTA2010,6134,8,East Harlem North,249.7,"1,179",246.2
2017-2019,NTA2010,6135,8,Washington Heights North,47.0,272,45.6
2017-2019,NTA2010,6136,8,Washington Heights South,81.7,613,80.4
2017-2019,NTA2010,6140,8,Upper East Side-Carnegie Hill,17.9,79,16.4
2017-2019,NTA2010,6150,8,Stuyvesant Town-Cooper Village,9.5,20,9.4
2017-2019,NTA2010,8101,8,South Jamaica,103.3,325,102.6
2017-2019,NTA2010,8102,8,Springfield Gardens North,70.3,151,66.7
2017-2019,NTA2010,8103,8,Springfield Gardens South-Brookville,81.8,138,82.8
2017-2019,NTA2010,8105,8,Rosedale,64.6,126,64.3
2017-2019,NTA2010,8106,8,Jamaica Estates-Holliswood,33.2,66,30.4
2017-2019,NTA2010,8107,8,Hollis,76.4,127,74.7
2017-2019,NTA2010,8108,8,St. Albans,86.5,357,85.3
2017-2019,NTA2010,8110,8,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,36.5,74,34.9
2017-2019,NTA2010,8112,8,Hammels-Arverne-Edgemere,147.6,426,144.7
2017-2019,NTA2010,8115,8,Far Rockaway-Bayswater,125.3,489,121.7
2017-2019,NTA2010,8117,8,Forest Hills,21.8,145,19.9
2017-2019,NTA2010,8118,8,Rego Park,22.1,52,22.4
2017-2019,NTA2010,8119,8,Glendale,44.9,113,43.0
2017-2019,NTA2010,8120,8,Ridgewood,47.9,261,47.5
2017-2019,NTA2010,8121,8,Middle Village,21.1,60,19.0
2017-2019,NTA2010,8122,8,Flushing,24.1,145,23.5
2017-2019,NTA2010,8123,8,College Point,34.0,61,32.7
2017-2019,NTA2010,8125,8,Corona,54.1,238,54.2
2017-2019,NTA2010,8126,8,North Corona,36.9,134,35.4
2017-2019,NTA2010,8127,8,East Elmhurst,69.2,102,69.3
2017-2019,NTA2010,8128,8,Jackson Heights,33.4,257,32.5
2017-2019,NTA2010,8129,8,Elmhurst,33.6,222,34.0
2017-2019,NTA2010,8130,8,Maspeth,22.3,53,22.3
2017-2019,NTA2010,8131,8,Hunters Point-Sunnyside-West Maspeth,22.1,129,20.5
2017-2019,NTA2010,8133,8,Cambria Heights,52.3,87,49.1
2017-2019,NTA2010,8134,8,Queens Village,52.5,213,49.9
2017-2019,NTA2010,8135,8,Briarwood-Jamaica Hills,32.8,112,32.5
2017-2019,NTA2010,8137,8,Kew Gardens Hills,27.1,79,27.9
2017-2019,NTA2010,8138,8,Pomonok-Flushing Heights-Hillcrest,58.4,156,53.9
2017-2019,NTA2010,8141,8,Fresh Meadows-Utopia,17.5,24,16.2
2017-2019,NTA2010,8142,8,Oakland Gardens,8.9,22,8.9
2017-2019,NTA2010,8143,8,Bellerose,19.5,41,19.2
2017-2019,NTA2010,8144,8,Glen Oaks-Floral Park-New Hyde Park,14.5,32,15.4
2017-2019,NTA2010,8145,8,Douglas Manor-Douglaston-Little Neck,12.6,25,12.1
2017-2019,NTA2010,8146,8,Bayside-Bayside Hills,15.0,49,14.1
2017-2019,NTA2010,8147,8,Ft. Totten-Bay Terrace-Clearview,8.6,14,7.5
2017-2019,NTA2010,8148,8,Auburndale,11.3,18,10.7
2017-2019,NTA2010,8149,8,Whitestone,12.3,33,12.9
2017-2019,NTA2010,8150,8,Elmhurst-Maspeth,26.3,50,25.9
2017-2019,NTA2010,8151,8,Murray Hill,19.2,75,17.6
2017-2019,NTA2010,8152,8,East Flushing,26.8,53,25.1
2017-2019,NTA2010,8153,8,Woodhaven,55.4,254,56.8
2017-2019,NTA2010,8154,8,Richmond Hill,51.8,248,52.1
2017-2019,NTA2010,8155,8,South Ozone Park,54.3,342,54.5
2017-2019,NTA2010,8156,8,Ozone Park,45.6,79,44.6
2017-2019,NTA2010,8157,8,Lindenwood-Howard Beach,27.7,57,25.0
2017-2019,NTA2010,8160,8,Kew Gardens,27.1,46,25.1
2017-2019,NTA2010,8161,8,Jamaica,72.9,296,72.1
2017-2019,NTA2010,8162,8,Queensboro Hill,22.0,34,20.7
2017-2019,NTA2010,8163,8,Woodside,25.1,89,24.9
2017-2019,NTA2010,8166,8,Laurelton,61.7,122,56.2
2017-2019,NTA2010,8168,8,Queensbridge-Ravenswood-Long Island City,145.8,226,142.8
2017-2019,NTA2010,8170,8,Astoria,43.7,251,41.0
2017-2019,NTA2010,8171,8,Old Astoria,93.6,173,89.1
2017-2019,NTA2010,8172,8,Steinway,30.6,112,28.5
2017-2019,NTA2010,8176,8,Baisley Park,97.0,282,97.0
2017-2019,NTA2010,8501,8,Annadale-Huguenot-Prince's Bay-Eltingville,13.6,31,13.5
2017-2019,NTA2010,8505,8,New Springville-Bloomfield-Travis,35.4,111,32.1
2017-2019,NTA2010,8507,8,Westerleigh,39.1,71,36.4
2017-2019,NTA2010,8508,8,Grymes Hill-Clifton-Fox Hills,84.9,140,80.9
2017-2019,NTA2010,8511,8,Charleston-Richmond Valley-Tottenville,19.0,33,18.8
2017-2019,NTA2010,8512,8,Mariner's Harbor-Arlington-Port Ivory-Graniteville,127.2,298,125.5
2017-2019,NTA2010,8514,8,Grasmere-Arrochar-Ft. Wadsworth,84.8,100,75.5
2017-2019,NTA2010,8522,8,West New Brighton-New Brighton-St. George,185.2,442,180.3
2017-2019,NTA2010,8524,8,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,35.8,90,32.9
2017-2019,NTA2010,8525,8,Oakwood-Oakwood Beach,32.6,44,27.2
2017-2019,NTA2010,8528,8,Port Richmond,92.5,135,90.3
2017-2019,NTA2010,8532,8,Rossville-Woodrow,17.8,29,17.6
2017-2019,NTA2010,8535,8,New Brighton-Silver Lake,71.7,91,68.1
2017-2019,NTA2010,8536,8,Old Town-Dongan Hills-South Beach,37.1,72,34.8
2017-2019,NTA2010,8537,8,Stapleton-Rosebank,127.9,245,122.1
2017-2019,NTA2010,8545,8,New Dorp-Midland Beach,29.9,48,28.6
2017-2019,NTA2010,8548,8,Arden Heights,26.3,49,23.8
2017-2019,NTA2010,8554,8,Great Kills,27.1,82,24.6
2017-2019,Borough,1,1,Bronx,171.8,"18,490",172.6
2017-2019,Borough,2,1,Brooklyn,90.6,"17,677",89.1
2017-2019,Borough,3,1,Manhattan,84.3,"11,253",80.5
2017-2019,Borough,4,1,Queens,46.5,"8,246",45.7
2017-2019,Borough,5,1,Staten Island,61.1,"2,139",57.3
